conduction loss	perte de conduction	1.0
conduction loss	perte par conduction	1.0
conduction loss	perte global par conduction	0.8849129676818848
conduction loss	conduction discontinue	0.8282372951507568
conduction loss	conduction ton	0.8282372951507568
conduction loss	conduction	0.8282372355461121
conduction loss	perte	0.8282370567321777
conduction loss	conduction dans le semi-conducteur	0.7997788190841675
conduction loss	conduction des semi-conducteur	0.7997788190841675
conduction loss	% par ce déperdition	0.7886748313903809
pitch angle	présenter différents aspect	1.000000238418579
pitch angle	inclinaison	1.0000001192092896
pitch angle	angle de inclinaison	1.0000001192092896
pitch angle	présenter le angle	1.0000001192092896
pitch angle	le point et le angle des prise	0.8493994474411011
pitch angle	angle b	0.8311706781387329
pitch angle	angle différent	0.8311706781387329
pitch angle	certain angle	0.8311706781387329
pitch angle	différent angle	0.8311706781387329
pitch angle	réorienter le angle	0.8311706781387329
rated power	courant nominal	1.000000238418579
rated power	nominal puissance	1.0000001192092896
rated power	puissance nominal	1.0000001192092896
rated power	puissance nominal pour v	1.0000001192092896
rated power	capacité nominal	1.0
rated power	puissance nominal du générateur	0.8962782025337219
rated power	courant nominal en sortie	0.8786773085594177
rated power	régulant à puissance nominal	0.8754217624664307
rated power	puissance nominal 3.0	0.8735873103141785
rated power	puissance nominal du système	0.8723106980323792
power system	système de énergie	1.000000238418579
power system	système à énergie	1.000000238418579
power system	énergie du système	1.000000238418579
power system	énergie par ce système	1.000000238418579
power system	puissance dans le système	1.0000001192092896
power system	puissance du système	1.0000001192092896
power system	rendement des système	1.0000001192092896
power system	rendement du système	1.0000001192092896
power system	système de puissance	1.0000001192092896
power system	système mécanique	1.0000001192092896
transmission system	système de transmission	0.9999998807907104
transmission system	système de transmission mécanique	0.8738375306129456
transmission system	communication	0.8107472062110901
transmission system	organisme	0.8107470870018005
transmission system	système	0.7506232261657715
transmission system	08.94 système	0.7506232261657715
transmission system	différent système	0.7506232261657715
transmission system	divers système	0.7506232261657715
transmission system	nombreux système	0.7506232261657715
transmission system	système de balais-bague	0.7506232261657715
